# Opaka
#nobs
59
#alpha
1.8110
#rho
0.8636
#wk
0.5266
#agek
3
#"year" "ct(lbs)" "cpue" "wt(lbs)"
1948 120801 47.41015 2.135
1949 130732 55.74065 1.724
1950 122529 67.23327 1.763
1951 106423 66.57908 1.679
1952 112937 70.98824 1.706
1953 110286 71.9537 1.686
1954 88786 72.65296 1.556
1955 82152 66.08255 1.472
1956 137169 63.66126 1.629
1957 106743 68.9691 1.744
1958 111356 77.1924 1.826
1959 62138 61.40172 1.714
1960 60300 80.91027 1.652
1961 70610 94.81732 1.839
1962 76499 74.6951 1.554
1963 109414 85.35533 1.579
1964 94329 95.61739 1.766
1965 81115 93.56736 1.86
1966 92815 76.16297 1.892
1967 106183 82.26757 2.001
1968 89908 73.75153 2.103
1969 88621 73.74206 2.412
1970 49655 61.07894 2.645
1971 76388 64.93469 2.232
1972 117367 71.52154 2.648
1973 130785 70.94047 2.4
1974 107828 69.11877 2.263
1975 119736 67.99119 2.282
1976 107140 49.66323 2.063
1977 126965 48.48134 2.021
1978 138931 59.97965 2.157
1979 170180 58.09872 2.217
1980 177017 52.98977 2.342
1981 183953 46.17958 1.979
1982 188988 43.87946 2.301
1983 204466 41.25411 2.306
1984 198260 45.80185 2.536
1985 174746 36.77845 1.953
1986 202467 36.92926 1.765
1987 274929 42.1469 1.765
1988 321305 49.30116 2.134
1989 274389 48.74921 2.234
1990 150388 41.13638 2.365
1991 134334 38.88047 2.127
1992 178014 39.89594 2.018
1993 143673 43.58036 1.827
1994 179451 41.63423 1.857
1995 174261 32.98387 1.984
1996 148730 34.93365 1.875
1997 145807 32.24007 1.978
1998 141958 32.25426 1.92
1999 129155 36.34726 1.931
2000 149879 38.04412 1.978
2001 100003 29.6292 2.004
2002 108467.3 39.18498 2.006
2003 115535.3 47.47558 2.028
2004 104721.6 47.67358 1.78
2005 84284.2 41.90931 1.903
2006 76910.6 43.28748 1.916
